title,company,location,field,education_level,salary_min,salary_max,salary_currency,job_type,deadline,url,source,scraped_at
Industrial Engineer,Hagar International,Remote,Manufacturing,Bachelor,700,1550,USD,Full-time,2026-04-19,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168943
Secretary,Doctors Without Borders,Siem Reap,HR / Admin,Bachelor,300,750,USD,Contract,2026-04-17,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168952
Executive Assistant,Toyota Cambodia,Phnom Penh,HR / Admin,Bachelor,500,1250,USD,Full-time,2026-04-20,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.168961
Sous Chef,BookMeBus,Siem Reap,Hospitality,College,700,1350,USD,Full-time,2026-03-28,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168972
Sales Executive,WHO Cambodia,Battambang,Marketing / Sales,College,500,950,USD,Full-time,2026-04-03,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168981
Pediatrician,Konvergence,Phnom Penh,Healthcare,Master,1900,4050,USD,Full-time,2026-06-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168989
ERP Consultant,FedEx Cambodia,Phnom Penh,IT / Technology,Bachelor,850,1800,USD,Part-time,2026-05-22,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168998
University Lecturer,Honda Cambodia,Kandal,Education,Master,700,1300,USD,Full-time,2026-05-06,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169007
Logistics Coordinator,FPT Software,Siem Reap,Manufacturing,Bachelor,650,1000,USD,Full-time,2026-05-01,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169015
Financial Controller,Wing Bank,Phnom Penh,Finance / Banking,Master,1500,3200,USD,Full-time,2026-04-13,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169023
Mobile App Developer,iDE Cambodia,Phnom Penh,IT / Technology,Bachelor,550,1300,USD,Contract,2026-05-20,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169036
Structural Engineer,Park Hyatt Siem Reap,Prey Veng,Engineering,Master,1250,2450,USD,Full-time,2026-05-23,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169045
MEP Engineer,Ernst & Young,Phnom Penh,Engineering,Bachelor,900,1650,USD,Full-time,2026-04-09,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169054
Early Childhood Educator,Cambodian Red Cross,Siem Reap,Education,Bachelor,250,680,USD,Full-time,2026-04-10,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169063
Production Supervisor,Sen Sok International,Phnom Penh,Manufacturing,Bachelor,600,1000,USD,Contract,2026-06-25,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169071
Vice Principal,Landell Mills,Siem Reap,Education,Master,1250,2700,USD,Part-time,2026-05-26,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169080
AML Compliance Officer,WHO Cambodia,Takeo,Finance / Banking,Master,750,1500,USD,Contract,2026-05-19,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169089
Pharmacist,Vattanac Properties,Phnom Penh,Healthcare,Bachelor,600,1200,USD,Full-time,2026-03-19,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169098
Civil Engineer,Wing Bank,Phnom Penh,Engineering,Bachelor,700,1700,USD,Full-time,2026-04-07,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169107
Curriculum Developer,Metfone,Phnom Penh,Education,Master,800,1550,USD,Full-time,2026-06-23,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169116
Safety Officer,Helen Keller Intl,Battambang,Engineering,Bachelor,500,1000,USD,Contract,2026-05-09,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169124
Academic Coordinator,ANZ Royal Bank,Kandal,Education,Master,900,1450,USD,Full-time,2026-06-09,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169133
Agribusiness Officer,iDE Cambodia,Battambang,Agriculture,Bachelor,800,1350,USD,Part-time,2026-06-27,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169143
Food & Beverage Manager,IFC Cambodia,Phnom Penh,Hospitality,Bachelor,900,1750,USD,Part-time,2026-05-07,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169151
Livestock Specialist,Sen Sok International,Phnom Penh,Agriculture,Bachelor,700,1000,USD,Part-time,2026-06-08,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169159
Dental Technician,Build Bright University,Kampot,Healthcare,College,300,600,USD,Full-time,2026-03-14,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169168
Accountant,Konvergence,Phnom Penh,Finance / Banking,Bachelor,400,900,USD,Full-time,2026-04-10,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169176
Paralegal,Sabay Digital,Remote,Legal,Bachelor,700,1100,USD,Full-time,2026-03-03,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169185
Dean,Baker McKenzie,Prey Veng,Education,PhD,1600,3450,USD,Part-time,2026-05-15,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169199
Nutritionist,Chemonics,Siem Reap,Healthcare,Bachelor,550,1000,USD,Full-time,2026-05-23,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169208
Crop Production Manager,Toyota Cambodia,Phnom Penh,Agriculture,Bachelor,750,1300,USD,Contract,2026-05-20,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169216
Logistics Coordinator,Wing Bank,Phnom Penh,Manufacturing,Bachelor,500,1350,USD,Full-time,2026-05-19,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169225
Frontend Developer,Norton University,Phnom Penh,IT / Technology,Bachelor,600,1400,USD,Part-time,2026-05-10,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169233
Corporate Lawyer,National Bank of Cambodia,Kampot,Legal,Master,1600,3500,USD,Full-time,2026-05-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169245
Mobile App Developer,Helen Keller Intl,Kandal,IT / Technology,Bachelor,500,1400,USD,Full-time,2026-06-13,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169254
Concierge,UNDP Cambodia,Phnom Penh,Hospitality,College,400,650,USD,Full-time,2026-05-07,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169263
Front Desk Officer,ACLEDA Bank,Phnom Penh,Hospitality,Bachelor,400,900,USD,Part-time,2026-04-11,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169271
Educational Consultant,Cellcard,Battambang,Education,Master,950,2050,USD,Full-time,2026-03-10,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169314
QA/QC Engineer,Grab Cambodia,Phnom Penh,Engineering,Bachelor,600,1250,USD,Full-time,2026-06-24,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169323
Executive Assistant,JICA Cambodia,Phnom Penh,HR / Admin,Bachelor,500,1250,USD,Full-time,2026-04-10,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169332
Tax Specialist,BELTEI,Phnom Penh,Finance / Banking,Bachelor,650,1350,USD,Full-time,2026-03-25,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169341
Legal Officer,Hagar International,Prey Veng,Legal,Bachelor,650,1650,USD,Contract,2026-06-25,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169350
Brand Manager,Sen Sok International,Phnom Penh,Marketing / Sales,Master,950,2050,USD,Full-time,2026-06-21,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169359
Payroll Specialist,Sen Sok International,Phnom Penh,HR / Admin,Bachelor,500,1000,USD,Contract,2026-03-10,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169367
Crop Production Manager,World Food Programme,Phnom Penh,Agriculture,Bachelor,750,1300,USD,Contract,2026-05-10,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169376
Chief Medical Officer,Norton University,Phnom Penh,Healthcare,PhD,2950,6300,USD,Part-time,2026-05-22,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169389
HRIS Specialist,Sathapana Bank,Sihanoukville,HR / Admin,Bachelor,750,1450,USD,Full-time,2026-05-24,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.169398
Warehouse Manager,RTI International,Phnom Penh,Manufacturing,Bachelor,700,1600,USD,Full-time,2026-04-08,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169407
E-commerce Manager,ING Cambodia,Phnom Penh,Marketing / Sales,Bachelor,800,1700,USD,Full-time,2026-06-12,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169418
Project Manager,EZECOM,Prey Veng,NGO / Development,Master,1100,2200,USD,Contract,2026-05-15,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169427
Compliance Manager,Ernst & Young,Kandal,Legal,Master,1300,2550,USD,Part-time,2026-03-23,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169436
Finance and Admin Officer,iDE Cambodia,Remote,NGO / Development,Bachelor,700,900,USD,Full-time,2026-06-26,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169445
Midwife,iDE Cambodia,Kandal,Healthcare,Bachelor,500,1000,USD,Full-time,2026-04-08,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169454
Legal Assistant,Manulife Cambodia,Phnom Penh,Legal,Bachelor,500,850,USD,Full-time,2026-03-06,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169463
Site Engineer,National Bank of Cambodia,Phnom Penh,Engineering,Bachelor,700,1450,USD,Contract,2026-03-11,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169471
Housekeeper,Royal Phnom Penh Hospital,Phnom Penh,Hospitality,College,300,500,USD,Full-time,2026-04-09,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169479
Lab Technician,JICA Cambodia,Prey Veng,Healthcare,College,450,950,USD,Part-time,2026-06-06,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169488
STEM Teacher,Hagar International,Prey Veng,Education,Bachelor,600,1050,USD,Full-time,2026-03-25,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169496
SEO Specialist,Chemonics,Remote,Marketing / Sales,Bachelor,550,800,USD,Full-time,2026-06-13,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169505
WASH Engineer,IFL University,Phnom Penh,NGO / Development,Bachelor,950,2000,USD,Full-time,2026-03-25,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.169514
Contract Specialist,Metfone,Phnom Penh,Legal,Bachelor,850,1800,USD,Full-time,2026-05-01,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.169522
DevOps Engineer,WaterSHED,Phnom Penh,IT / Technology,Bachelor,900,1650,USD,Full-time,2026-03-07,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169534
HR Director,FHI 360,Phnom Penh,HR / Admin,Master,1500,3200,USD,Contract,2026-05-08,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169548
Treasury Analyst,Build Bright University,Sihanoukville,Finance / Banking,Master,900,2050,USD,Full-time,2026-06-26,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.169557
Partnership Officer,ADB Cambodia,Prey Veng,NGO / Development,Master,1000,2100,USD,Full-time,2026-06-26,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.169566
Network Engineer,Norton University,Phnom Penh,IT / Technology,Bachelor,800,1350,USD,Full-time,2026-03-11,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170006
Legal Officer,Sabay Digital,Battambang,Legal,Bachelor,700,1450,USD,Full-time,2026-05-12,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170027
Construction Project Manager,Sen Sok International,Phnom Penh,Engineering,Master,1450,3200,USD,Contract,2026-03-27,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170038
Credit Analyst,Chip Mong Group,Remote,Finance / Banking,Bachelor,550,1000,USD,Full-time,2026-06-12,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170049
Data Engineer,Cellcard,Phnom Penh,IT / Technology,Master,1100,2000,USD,Contract,2026-06-26,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170058
Midwife,Konvergence,Phnom Penh,Healthcare,Bachelor,650,1150,USD,Contract,2026-04-16,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170068
Hotel Manager,Park Hyatt Siem Reap,Kampong Cham,Hospitality,Master,1100,2550,USD,Full-time,2026-05-02,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170077
Full Stack Developer,DHL Cambodia,Remote,IT / Technology,Master,900,2100,USD,Full-time,2026-04-09,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170086
Marketing Director,World Vision,Phnom Penh,Marketing / Sales,Master,1900,4400,USD,Contract,2026-04-03,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170095
Executive Chef,Deloitte Cambodia,Siem Reap,Hospitality,Bachelor,950,1900,USD,Full-time,2026-04-12,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170103
Maintenance Technician,Decathlon Cambodia,Sihanoukville,Manufacturing,College,450,700,USD,Part-time,2026-04-15,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170112
Contract Specialist,Tetra Tech,Phnom Penh,Legal,Bachelor,950,1750,USD,Full-time,2026-03-04,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170121
Educational Consultant,ABA Bank,Siem Reap,Education,Master,900,1950,USD,Full-time,2026-03-06,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170130
Credit Analyst,Sathapana Bank,Kampong Cham,Finance / Banking,Bachelor,500,1150,USD,Full-time,2026-05-26,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170139
Mechanical Engineer,Care International,Remote,Engineering,Bachelor,650,1550,USD,Full-time,2026-06-07,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170148
Program Officer,Park Hyatt Siem Reap,Siem Reap,NGO / Development,Bachelor,900,2000,USD,Full-time,2026-04-02,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170157
Factory Manager,Phnom Penh SEZ,Battambang,Manufacturing,Master,1450,3400,USD,Part-time,2026-03-15,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170165
Contract Specialist,Smart Axiata,Phnom Penh,Legal,Bachelor,800,1750,USD,Full-time,2026-03-16,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170174
Capacity Building Officer,Care International,Phnom Penh,NGO / Development,Bachelor,700,1800,USD,Full-time,2026-05-28,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170182
Inventory Controller,Norton University,Battambang,Manufacturing,Bachelor,400,1150,USD,Contract,2026-06-15,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170191
Korean Language Teacher,Habitat for Humanity,Kampong Cham,Education,Bachelor,350,1000,USD,Full-time,2026-06-25,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170199
Operations Manager,TPC MFI,Phnom Penh,Manufacturing,Master,1150,2450,USD,Part-time,2026-03-28,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170208
Warehouse Manager,Institute of Technology of Cambodia,Phnom Penh,Manufacturing,Bachelor,900,1700,USD,Full-time,2026-05-25,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170217
Partnership Officer,FHI 360,Battambang,NGO / Development,Master,1100,1950,USD,Full-time,2026-04-03,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170225
Capacity Building Officer,Palladium Group,Phnom Penh,NGO / Development,Bachelor,850,1600,USD,Full-time,2026-06-19,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170233
Executive Chef,Cambodian ICT Center,Prey Veng,Hospitality,Bachelor,900,1800,USD,Contract,2026-03-08,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170242
Nutrition Officer,Decathlon Cambodia,Siem Reap,NGO / Development,Bachelor,800,1700,USD,Part-time,2026-04-28,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170250
Business Analyst,IFC Cambodia,Phnom Penh,IT / Technology,Bachelor,800,1450,USD,Full-time,2026-05-28,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170259
Soil Scientist,Zando,Phnom Penh,Agriculture,Master,1000,1650,USD,Part-time,2026-06-05,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170267
Sales Manager,Phillip Bank,Kampot,Marketing / Sales,Master,1300,2450,USD,Full-time,2026-03-16,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170298
Chief Engineer,ACLEDA Bank,Siem Reap,Engineering,Master,2100,4050,USD,Full-time,2026-05-15,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170314
Core Banking Specialist,Shinta Mani,Siem Reap,Finance / Banking,Bachelor,700,1450,USD,Contract,2026-04-26,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170325
Food Security Analyst,TG International School,Sihanoukville,Agriculture,Master,850,2000,USD,Full-time,2026-03-16,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170334
Guest Relations Officer,ING Cambodia,Phnom Penh,Hospitality,Bachelor,400,950,USD,Full-time,2026-03-07,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170342
Industrial Engineer,LYP Group,Sihanoukville,Manufacturing,Bachelor,900,1550,USD,Full-time,2026-06-07,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170351
Finance Manager,MSI Surveys,Phnom Penh,Finance / Banking,Master,1250,2550,USD,Full-time,2026-03-08,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.170359
Logistics Coordinator,ADB Cambodia,Kampot,Manufacturing,Bachelor,550,1350,USD,Part-time,2026-05-26,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170367
General Surgeon,Hagar International,Takeo,Healthcare,Master,1950,4150,USD,Full-time,2026-06-05,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.170376
Dental Technician,Chemonics,Siem Reap,Healthcare,College,300,950,USD,Full-time,2026-03-17,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170384
Spa Therapist,Wing Bank,Siem Reap,Hospitality,College,450,900,USD,Full-time,2026-03-18,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.170392
Agricultural Project Manager,Plan International,Phnom Penh,Agriculture,Master,1050,1950,USD,Full-time,2026-04-07,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.170401
Housekeeper,BookMeBus,Kampong Cham,Hospitality,College,200,450,USD,Contract,2026-06-11,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.170410
